nama_provinsi,desa_kelurahan,ketersediaan_tempat_pembuangan_sampah,tahun
JAWA BARAT,WANAHERANG,TIDAK ADA,2019.0
JAWA BARAT,BOJONG KULUR,ADA,2019.0
JAWA BARAT,CIANGSANA,TIDAK ADA,2019.0
JAWA BARAT,GUNUNG PUTRI,ADA,2019.0
JAWA BARAT,BOJONG NANGKA,TIDAK ADA,2019.0
JAWA BARAT,TLAJUNG UDIK,TIDAK ADA,2019.0
JAWA BARAT,CICADAS,TIDAK ADA,2019.0
JAWA BARAT,CIKEAS UDIK,TIDAK ADA,2019.0
JAWA BARAT,NAGRAK,TIDAK ADA,2019.0
JAWA BARAT,KARANGGAN,ADA,2019.0
JAWA BARAT,PUSPASARI,ADA,2019.0
JAWA BARAT,CITEUREUP,ADA,2019.0
JAWA BARAT,LEUWINUTUG,ADA,2019.0
JAWA BARAT,TAJUR,ADA,2019.0
JAWA BARAT,SANJA,ADA,2019.0
JAWA BARAT,KARANG ASEM TIMUR,ADA,2019.0
JAWA BARAT,TARIKOLOT,TIDAK ADA,2019.0
JAWA BARAT,GUNUNGSARI,ADA,2019.0
JAWA BARAT,TANGKIL,TIDAK ADA,2019.0
JAWA BARAT,SUKAHATI,TIDAK ADA,2019.0
JAWA BARAT,HAMBALANG,TIDAK ADA,2019.0
JAWA BARAT,PASIRMUKTI,TIDAK ADA,2019.0
JAWA BARAT,GUNUNGGEULIS,TIDAK ADA,2019.0
JAWA BARAT,CILEBUT TIMUR,ADA,2019.0
JAWA BARAT,CILEBUT BARAT,ADA,2019.0
JAWA BARAT,CIBANON,TIDAK ADA,2019.0
JAWA BARAT,NAGRAK,ADA,2019.0
JAWA BARAT,SUKATANI,ADA,2019.0
JAWA BARAT,SUKARAJA,ADA,2019.0
JAWA BARAT,CIKEAS,TIDAK ADA,2019.0
JAWA BARAT,PASIR JAMBU,TIDAK ADA,2019.0
JAWA BARAT,CIMANDALA,ADA,2019.0
JAWA BARAT,CIJUJUNG,TIDAK ADA,2019.0
JAWA BARAT,CADASNGAMPAR,TIDAK ADA,2019.0
JAWA BARAT,PASIRLAJA,ADA,2019.0
JAWA BARAT,CIJAYANTI,TIDAK ADA,2019.0
JAWA BARAT,SUMURBATU,ADA,2019.0
JAWA BARAT,SENTUL,TIDAK ADA,2019.0
JAWA BARAT,KARANGTENGAH,TIDAK ADA,2019.0
JAWA BARAT,CIPAMBUAN,ADA,2019.0
JAWA BARAT,KADUMANGGU,TIDAK ADA,2019.0
JAWA BARAT,CITARINGGUL,ADA,2019.0
JAWA BARAT,BABAKAN MADANG,TIDAK ADA,2019.0
JAWA BARAT,BOJONG KONENG,TIDAK ADA,2019.0
JAWA BARAT,SUKAMAJU,TIDAK ADA,2019.0
JAWA BARAT,SIRNAGALIH,TIDAK ADA,2019.0
JAWA BARAT,SINGAJAYA,TIDAK ADA,2019.0
JAWA BARAT,SUKASIRNA,TIDAK ADA,2019.0
JAWA BARAT,SUKANEGARA,TIDAK ADA,2019.0
JAWA BARAT,SUKAMANAH,TIDAK ADA,2019.0
JAWA BARAT,WENINGGALIH,TIDAK ADA,2019.0
JAWA BARAT,CIBODAS,TIDAK ADA,2019.0
JAWA BARAT,JONGGOL,TIDAK ADA,2019.0
JAWA BARAT,BENDUNGAN,TIDAK ADA,2019.0
JAWA BARAT,SINGASARI,TIDAK ADA,2019.0
JAWA BARAT,BALEKAMBANG,ADA,2019.0
JAWA BARAT,SUKAJAYA,TIDAK ADA,2019.0
JAWA BARAT,SUKAGALIH,TIDAK ADA,2019.0
JAWA BARAT,PASIRANGIN,ADA,2019.0
JAWA BARAT,MEKARSARI,ADA,2019.0
JAWA BARAT,MAMPIR,TIDAK ADA,2019.0
JAWA BARAT,DAYEUH,ADA,2019.0
JAWA BARAT,GANDOANG,TIDAK ADA,2019.0
JAWA BARAT,JATISARI,TIDAK ADA,2019.0
JAWA BARAT,CILEUNGSI KIDUL,ADA,2019.0
JAWA BARAT,CIPEUCANG,TIDAK ADA,2019.0
JAWA BARAT,SITUSARI,TIDAK ADA,2019.0
JAWA BARAT,CIPENJO,ADA,2019.0
JAWA BARAT,LIMUSNUNGGAL,ADA,2019.0
JAWA BARAT,CILEUNGSI,TIDAK ADA,2019.0
JAWA BARAT,KARYAMEKAR,TIDAK ADA,2019.0
JAWA BARAT,BABAKANRADEN,TIDAK ADA,2019.0
JAWA BARAT,CIKUTAMAHI,ADA,2019.0
JAWA BARAT,KUTAMEKAR,ADA,2019.0
JAWA BARAT,CARIU,TIDAK ADA,2019.0
JAWA BARAT,MEKARWANGI,TIDAK ADA,2019.0
JAWA BARAT,BANTARKUNING,TIDAK ADA,2019.0
JAWA BARAT,SUKAJADI,TIDAK ADA,2019.0
JAWA BARAT,TEGALPANJANG,TIDAK ADA,2019.0
JAWA BARAT,CIBATUTIGA,ADA,2019.0
JAWA BARAT,WARGAJAYA,TIDAK ADA,2019.0
JAWA BARAT,PABUARAN,TIDAK ADA,2019.0
JAWA BARAT,SUKADAMAI,TIDAK ADA,2019.0
JAWA BARAT,SUKAWANGI,TIDAK ADA,2019.0
JAWA BARAT,CIBADAK,TIDAK ADA,2019.0
JAWA BARAT,SUKARESMI,TIDAK ADA,2019.0
JAWA BARAT,SUKAMULYA,ADA,2019.0
JAWA BARAT,SUKAHARJA,TIDAK ADA,2019.0
JAWA BARAT,SIRNAJAYA,TIDAK ADA,2019.0
JAWA BARAT,SUKAMAKMUR,TIDAK ADA,2019.0
JAWA BARAT,PARUNG,TIDAK ADA,2019.0
JAWA BARAT,IWUL,TIDAK ADA,2019.0
JAWA BARAT,BOJONGSEMPU,TIDAK ADA,2019.0
JAWA BARAT,WARU,TIDAK ADA,2019.0
JAWA BARAT,COGREG,TIDAK ADA,2019.0
JAWA BARAT,PAMEGARSARI,TIDAK ADA,2019.0
JAWA BARAT,WARUJAYA,TIDAK ADA,2019.0
JAWA BARAT,BOJONGINDAH,TIDAK ADA,2019.0
JAWA BARAT,JABONMEKAR,TIDAK ADA,2019.0
JAWA BARAT,CIDOKOM,TIDAK ADA,2019.0
JAWA BARAT,PADURENAN,ADA,2019.0
JAWA BARAT,PENGASINAN,TIDAK ADA,2019.0
